,loc_id,latitude,longitude,subnational1_code,entry_technique,sub_id,obs_id,Month,Day,Year,species_code,how_many,valid,reviewed,day1_am,day1_pm,day2_am,day2_pm,effort_hrs_atleast,snow_dep_atleast,Data_Entry_Method,Date_Combined
1237629,'L1396612','35.7177048','-78.780365','US-NC','ESRI_WEBSERVICE_STREET','S86242504','OBS1131719439','4','24','2021','eastow',"(0, 10]",'1','0','0','1','1','1',1.001,0.0,'PFW Mobile App v1.1.17',4-24-2021
2253112,'L10144838','41.1301049','-81.5519939','US-OH','/GOOGLE_MAP/ZOOM:15','S76229552','OBS1011728636','11','14','2020','whbnut',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Mobile App v1.1.14',11-14-2020
516327,'L12885538','38.0171184','-87.5814242','US-IN','/GOOGLE_MAP/ZOOM:15','S79089295','OBS1049577977','1','10','2021','carchi',"(0, 10]",'1','0','0','1','1','0',1.001,0.0,'PFW Web 4.1.4',1-10-2021
556572,'L8882713','42.2547218','-70.8283237','US-MA','/GOOGLE_MAP/ZOOM:14','S82707222','OBS1086862464','2','22','2021','whbnut',"(0, 10]",'1','0','1','1','1','1',1.001,5.0,'PFW Web 4.1.4',2-22-2021
1583686,'L4051889','47.4027137','-122.1794057','US-WA','/GOOGLE_MAP/ZOOM:18','S76960964','OBS1021504501','11','30','2020','annhum',"(0, 10]",'1','0','1','1','1','1',4.001,0.0,'PFW Web 4.1.4',11-30-2020
1810204,'L6539565','39.160772','-86.5882784','US-IN','/GOOGLE_MAP/ZOOM:18','S79193141','OBS1050915177','1','11','2021','daejun',"(0, 10]",'1','0','1','0','1','0',1.001,0.0,'PFW Web 4.1.4',1-11-2021
1145516,'L1030973','35.1479607','-80.7937164','US-NC','ESRI_WEBSERVICE_STREET','S82172004','OBS1080624521','2','19','2021','eastow',"(0, 10]",'1','0','1','0','1','0',1.001,0.0,'PFW Web 4.1.4',2-19-2021
1922888,'L8159766','43.3058843','-91.779273','US-IA','/GOOGLE_MAP/ZOOM:15','S77121414','OBS1023768337','12','4','2020','houfin',"(10, 20]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',12-4-2020
1852532,'L12709226','40.8300127','-73.3664354','US-NY','/GOOGLE_MAP/ZOOM:15','S80259883','OBS1063917681','1','30','2021','rebwoo',"(0, 10]",'1','0','0','1','1','1',1.001,0.0,'PFW Web 4.1.4',1-30-2021
2102767,'L8182864','41.6323972','-86.1810963','US-IN','/GOOGLE_MAP/ZOOM:15','S82937116','OBS1089521527','1','16','2021','norcar',"(0, 10]",'1','0','1','0','1','0',1.001,0.001,'PFW Web 4.1.4',1-16-2021
2381300,'L14031091','39.5999275','-104.9179228','US-CO','/GOOGLE_MAP/ZOOM:15','S86150980','OBS1129303622','4','21','2021','comgra',"(0, 10]",'1','0','1','1','1','1',1.001,,'PFW Web 4.1.4',4-21-2021
1553137,'L14078363','42.529704','-77.1513887','US-NY','/GOOGLE_MAP/ZOOM:15','S85080221','OBS1115382647','4','8','2021','tuftit',"(0, 10]",'1','0','1','0','0','1',1.001,0.0,'PFW Mobile App v1.1.17',4-8-2021
979634,'L616867','40.2906523','-74.4337839','US-NJ','ESRI_WEBSERVICE_STREET','S77258144','OBS1025714161','12','5','2020','houspa',"(0, 10]",'1','0','1','1','1','1',1.001,,'PFW Web 4.1.4',12-5-2020
1789267,'L12715583','38.2831434','-122.0291091','US-CA','/GOOGLE_MAP/ZOOM:18','S77923276','OBS1035093072','12','24','2020','pinsis',"(0, 10]",'1','0','1','0','0','1',0.001,,'PFW Mobile App v1.1.17',12-24-2020
1201719,'L4041976','37.110925','-76.424379','US-VA','/GOOGLE_MAP/ZOOM:15','S81671496','OBS1075453849','2','6','2021','rebnut',"(0, 10]",'1','0','1','1','1','1',8.001,0.0,'PFW Web 4.1.4',2-6-2021
2047768,'L2409766','42.2047599','-88.0464224','US-IL','/GOOGLE_MAP/ZOOM:15','S80816548','OBS1070318342','2','10','2021','dowwoo',"(0, 10]",'1','0','0','0','1','1',0.001,15.001,'PFW Mobile App v1.1.17',2-10-2021
1997308,'L8164980','43.0861715','-83.5032016','US-MI','/GOOGLE_MAP/ZOOM:18','S80289069','OBS1064214994','1','31','2021','houspa',"(30, 40]",'1','0','0','1','1','1',1.001,5.0,'PFW Web 4.1.4',1-31-2021
323258,'L1810216','46.4059068','-63.2693195','CA-PE','nan','S82279448','OBS1081878276','1','31','2021','blujay',"(0, 10]",'1','0','0','1','0','1',1.001,5.0,'PFW Web 4.1.4',1-31-2021
1683180,'L8105752','30.0820299','-95.7144964','US-TX','/GOOGLE_MAP/ZOOM:18','S86663335','OBS1136013603','12','21','2020','amegfi',"(0, 10]",'1','0','1','1','1','0',1.001,0.0,'PFW Web 4.1.4',12-21-2020
273548,'L76812','45.385','-75.7567','CA-ON',"'otherpub top map 1:50,00'",'S81838207','OBS1077007310','2','16','2021','dowwoo',"(0, 10]",'1','0','1','1','1','1',1.001,15.001,'PFW Web 4.1.4',2-16-2021
1938837,'L8138097','44.4434741','-68.492707','US-ME','nan','S83463521','OBS1095619467','3','6','2021','norcar',"(0, 10]",'1','0','1','1','1','1',0.001,0.0,'PFW Web 4.1.4',3-6-2021
2042587,'L8159876','39.5181949','-84.7509498','US-OH','/GOOGLE_MAP/ZOOM:15','S82073243','OBS1080320336','2','1','2021','carwre',"(0, 10]",'1','0','1','1','1','1',1.001,0.001,'PFW Web 4.1.4',2-1-2021
623705,'L5185107','42.0307935','-72.4115335','US-CT','/GOOGLE_MAP/ZOOM:15','S79131625','OBS1050139282','12','14','2020','dowwoo',"(0, 10]",'1','0','1','0','1','0',1.001,0.001,'PFW Web 4.1.4',12-14-2020
2756924,'L13855049','40.8500024','-74.1491976','US-NJ','/GOOGLE_MAP/ZOOM:15','S83723226','OBS1098802209','3','20','2021','houspa',"(10, 20]",'1','0','1','0','0','0',0.001,0.0,'PFW Mobile App v1.1.17',3-20-2021
1121455,'L818527','33.8501738','-84.7919655','US-GA','ESRI_WEBSERVICE_STREET/GOOGLE_MAP/ZOOM:1','S83615464','OBS1097488067','2','8','2021','moudov',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',2-8-2021
983186,'L3152161','41.1867771','-73.9010103','US-NY','/GOOGLE_MAP/ZOOM:12','S82973463','OBS1089907827','3','6','2021','moudov',"(0, 10]",'1','0','1','0','1','0',1.001,0.0,'PFW Web 4.1.4',3-6-2021
893574,'L279772','46.4570179','-93.0565166','US-MN','GREATDATA_POSTCODE/GOOGLE_MAP/ZOOM:4','S89134766','OBS1169303316','12','12','2020','comred',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',12-12-2020
1245472,'L1313668','41.8455315','-72.2635651','US-CT','ESRI_WEBSERVICE_STREET','S77783522','OBS1033119782','12','19','2020','tuftit',"(0, 10]",'1','0','1','1','1','1',1.001,5.0,'PFW Web 4.1.4',12-19-2020
